Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EQT,EQT Corporation Common Stock,$21.40,0.68,3.282%,8088044036.00,United States,,4959674,Energy,Oil & Gas Production
ESTE,Earthstone Energy Inc. Class A Common Stock,$9.85,-0.05,-0.505%,837703612.00,United States,,370545,Energy,Oil & Gas Production
ETRN,Equitrans Midstream Corporation Common Stock ,$11.05,0.05,0.455%,4779368100.00,,2018,1917051,Energy,Oilfield Services/Equipment
FANG,Diamondback Energy Inc. Commmon Stock,$109.33,0.40,0.367%,19794595336.00,United States,2012,2177934,Energy,Oil & Gas Production
FET,Forum Energy Technologies Inc. Common Stock,$23.44,-0.41,-1.719%,131912186.00,United States,2012,31227,Energy,Metal Fabrications
FLMN,Falcon Minerals Corporation Class A Common Stock,$5.94,-0.40,-6.309%,278789338.00,United States,2017,1101894,Energy,Oil & Gas Production
FLMNW,Falcon Minerals Corporation Warrant,$0.1971,-0.0327,-14.23%,0.00,United States,2017,39195,Energy,Oil & Gas Production
FTI,TechnipFMC plc Ordinary Share,$7.71,0.28,3.769%,3474900701.00,,,6753544,Energy,Metal Fabrications
FTK,Flotek Industries Inc. Common Stock,$1.09,0.02,1.869%,80767101.00,United States,,474528,Energy,Oilfield Services/Equipment
FTSI,FTS International Inc. Class A Common Stock,$27.05,0.44,1.654%,380367443.00,United States,2020,454678,Energy,Oilfield Services/Equipment
GDP,Goodrich Petroleum Corporation Common Stock,$20.44,0.21,1.038%,278166836.00,United States,2017,170611,Energy,Oil & Gas Production
GEL,Genesis Energy L.P. Common Units,$11.06,-0.04,-0.36%,1355726151.00,United States,1996,875942,Energy,Oil Refining/Marketing
GIFI,Gulf Island Fabrication Inc. Common Stock,$4.0201,-0.0458,-1.126%,62453158.00,United States,1997,46848,Energy,Metal Fabrications
GLNG,Golar Lng Ltd,$13.52,0.07,0.52%,1486437391.00,Bermuda,,721888,Energy,Oilfield Services/Equipment
GLOP,GasLog Partners LP Common Units representing limited partnership interests,$5.19,0.65,14.317%,279609667.00,,2014,1156942,Energy,Oil & Gas Production
GLP,Global Partners LP Global Partners LP Common Units representing Limited Partner Interests,$23.59,-0.24,-1.007%,801955331.00,United States,2005,69996,Energy,Oil Refining/Marketing
GPOR,Gulfport Energy Corporation Common Shares,$83.00,-0.14,-0.168%,1708604717.00,United States,2021,18606,Energy,Oil & Gas Production
GPRK,Geopark Ltd Common Shares,$15.18,0.08,0.53%,927151410.00,Bermuda,2014,105762,Energy,Oil & Gas Production
GTE,Gran Tierra Energy Inc. Common Stock,$0.8901,0.0761,9.349%,326659390.00,Canada,,7839365,Energy,Oil & Gas Production
HAL,Halliburton Company Common Stock,$25.89,0.54,2.13%,23055028482.00,United States,,8895863,Energy,Oil & Gas Production
HES,Hess Corporation Common Stock,$88.64,1.13,1.291%,27449410465.00,United States,,1944487,Energy,Oil & Gas Production
HESM,Hess Midstream LP Class A Share,$26.57,-0.02,-0.075%,894436990.00,United States,2017,197888,Energy,Oilfield Services/Equipment
HFC,HollyFrontier Corporation Common Stock,$36.54,-0.03,-0.082%,5937390666.00,United States,,983876,Energy,Integrated oil Companies
HLX,Helix Energy Solutions Group Inc. Common Stock,$4.13,0.03,0.732%,622783689.00,United States,,1120879,Energy,Oilfield Services/Equipment
HNRG,Hallador Energy Company Common Stock,$3.34,0.01,0.30%,102245990.00,United States,,227002,Energy,Coal Mining
HP,Helmerich & Payne Inc. Common Stock,$34.10,-0.14,-0.409%,3679348466.00,United States,,529569,Energy,Oil & Gas Production
HPK,HighPeak Energy Inc. Common Stock,$11.15,0.25,2.294%,1034091999.00,United States,,105302,Energy,Oil & Gas Production
HPKEW,HighPeak Energy Inc. Warrant,$2.76,0.36,15.00%,0.00,United States,,2155,Energy,Oil & Gas Production
HUSA,Houston American Energy Corporation Common Stock,$1.88,-0.03,-1.571%,18655875.00,United States,,209449,Energy,Oil & Gas Production
ICD,Independence Contract Drilling Inc. Common Stock,$4.63,-0.35,-7.028%,33539428.00,,2014,299113,Energy,Oil & Gas Production
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$4.23,-0.02,-0.471%,31483700.00,,2019,12628,Energy,Oil & Gas Production
INT,World Fuel Services Corporation Common Stock,$31.74,-0.29,-0.905%,2015561542.00,United States,,212958,Energy,Oil Refining/Marketing
